2015-04-29 00:24:44 INFO - Word dictionary doesn't contain word: "торжественное мероприятие"
2015-04-29 00:24:44 INFO - Word dictionary doesn't contain word: "выражать несогласие"
2015-04-29 00:24:44 INFO - Word dictionary doesn't contain word: "европейцы"
2015-04-29 00:24:44 INFO - Word dictionary doesn't contain word: "европейцы"
2015-04-29 00:24:45 INFO - Word dictionary doesn't contain word: "арабы"
2015-04-29 00:24:45 INFO - Word dictionary doesn't contain word: "арабы"
2015-04-29 00:24:45 INFO - Word dictionary doesn't contain word: "опиаты"
2015-04-29 00:24:45 INFO - Word dictionary doesn't contain word: "органические вещества"
2015-04-29 00:24:46 INFO - Word dictionary doesn't contain word: "путь сообщения"
2015-04-29 00:24:46 INFO - Word dictionary doesn't contain word: "путь сообщения"
2015-04-29 00:24:47 INFO - Word dictionary doesn't contain word: "совокупность предметов"
2015-04-29 00:24:47 INFO - Word dictionary doesn't contain word: "совокупность предметов"
2015-04-29 00:24:48 INFO - Word dictionary doesn't contain word: "совокупность собранного"
2015-04-29 00:24:48 INFO - Word dictionary doesn't contain word: "совокупность собранного"
2015-04-29 00:24:48 INFO - Word dictionary doesn't contain word: "то"
2015-04-29 00:24:48 INFO - Word dictionary doesn't contain word: "что объединено"
2015-04-29 00:24:50 INFO - Word dictionary doesn't contain word: "североамериканцы"
2015-04-29 00:24:50 INFO - Word dictionary doesn't contain word: "североамериканцы"
2015-04-29 00:24:50 INFO - Word dictionary doesn't contain word: "североамериканцы"
2015-04-29 00:24:50 INFO - Word dictionary doesn't contain word: "американцы"
2015-04-29 00:24:50 INFO - Word dictionary doesn't contain word: "негры"
2015-04-29 00:24:50 INFO - Word dictionary doesn't contain word: "американцы"
2015-04-29 00:24:51 INFO - Word dictionary doesn't contain word: "американцы"
2015-04-29 00:24:53 INFO - Word dictionary doesn't contain word: "материала"
2015-04-29 00:24:53 INFO - Word dictionary doesn't contain word: "образец изделия"
2015-04-29 00:24:54 INFO - Word dictionary doesn't contain word: "результат рассуждений"
2015-04-29 00:24:54 INFO - Word dictionary doesn't contain word: "движения"
2015-04-29 00:24:54 INFO - Word dictionary doesn't contain word: "ход развития"
2015-04-29 00:24:54 INFO - Word dictionary doesn't contain word: "движения"
2015-04-29 00:24:54 INFO - Word dictionary doesn't contain word: "ход развития"
2015-04-29 00:24:54 INFO - Word dictionary doesn't contain word: "движения"
2015-04-29 00:24:54 INFO - Word dictionary doesn't contain word: "ход развития"
2015-04-29 00:24:55 INFO - Word dictionary doesn't contain word: "болезненный процесс"
2015-04-29 00:24:55 INFO - Word dictionary doesn't contain word: "болезненный процесс"
2015-04-29 00:24:55 INFO - Word dictionary doesn't contain word: "болезненный процесс"
2015-04-29 00:24:55 INFO - Word dictionary doesn't contain word: "европейцы"
2015-04-29 00:24:56 INFO - Word dictionary doesn't contain word: "европейцы"
2015-04-29 00:24:56 INFO - Word dictionary doesn't contain word: "словесное изложение"
2015-04-29 00:24:56 INFO - Word dictionary doesn't contain word: "словесное изложение"
2015-04-29 00:24:56 INFO - Word dictionary doesn't contain word: "автор изобразительного произведения"
2015-04-29 00:24:57 INFO - Word dictionary doesn't contain word: "автор изобразительного произведения"
2015-04-29 00:24:58 INFO - Word dictionary doesn't contain word: "стремиться уничтожить"
2015-04-29 00:25:00 INFO - Word dictionary doesn't contain word: "стремиться уничтожить"
2015-04-29 00:25:00 INFO - Word dictionary doesn't contain word: "официальный порядок действий"
2015-04-29 00:25:00 INFO - Word dictionary doesn't contain word: "официальный порядок действий"
2015-04-29 00:25:00 INFO - Word dictionary doesn't contain word: "официальный порядок действий"
2015-04-29 00:25:00 INFO - Word dictionary doesn't contain word: "стремиться уничтожить"
2015-04-29 00:25:00 INFO - Word dictionary doesn't contain word: "стремиться уничтожить"
2015-04-29 00:25:00 INFO - Word dictionary doesn't contain word: "стремиться уничтожить"
2015-04-29 00:25:00 INFO - Word dictionary doesn't contain word: "стремиться уничтожить"
2015-04-29 00:25:00 INFO - Word dictionary doesn't contain word: "стремиться уничтожить"
2015-04-29 00:25:00 INFO - Word dictionary doesn't contain word: "стремиться уничтожить"
